*  DOBSON(year,month,latitude)
*
*  Lats:
*   --
     3
*   --
*
*                 -----        -----        -----
                      50           40           30
* Yr:   Mo:       -----        -----        -----
 2033   Jul       295.37       269.93       269.89
 2033   Aug       275.28       260.81       267.28
 2033   Sep       270.45       264.21       268.46
 2033   Oct       284.06       272.91       264.03
 2033   Nov       304.94       272.99       250.14
 2033   Dec       307.71       264.36       240.09
 2034   Jan       289.26       237.01       229.65
 2034   Feb       276.85       230.87       237.35
 2034   Mar       268.07       251.45       257.98
 2034   Apr       287.42       281.27       280.89
 2034   May       314.01       306.18       289.89
 2034   Jun       316.69       293.57       279.18
 2034   Jul       294.54       269.11       269.38
 2034   Aug       274.31       259.92       266.80
 2034   Sep       269.62       263.61       268.13
 2034   Oct       283.65       272.68       263.79
 2034   Nov       304.75       272.75       249.79
 2034   Dec       307.08       263.52       239.52
 2035   Jan       287.57       235.34       228.95
 2035   Feb       274.13       228.77       236.75
 2035   Mar       265.15       249.57       257.63
 2035   Apr       285.08       280.08       280.72
 2035   May       312.56       305.50       289.69
 2035   Jun       315.81       292.95       278.80
 2035   Jul       293.68       268.27       268.85
 2035   Aug       273.31       259.00       266.31
 2035   Sep       268.77       262.98       267.80
 2035   Oct       283.23       272.45       263.54
 2035   Nov       304.56       272.51       249.43
 2035   Dec       306.43       262.65       238.93
 2036   Jan       285.84       233.63       228.23
 2036   Feb       271.33       226.61       236.14
 2036   Mar       262.16       247.65       257.26
 2036   Apr       282.68       278.85       280.55
 2036   May       311.07       304.80       289.48
 2036   Jun       314.91       292.33       278.40
 2036   Jul       292.81       267.41       268.31
 2036   Aug       272.29       258.06       265.81
 2036   Sep       267.91       262.35       267.46
 2036   Oct       282.80       272.21       263.29
 2036   Nov       304.36       272.26       249.07
 2036   Dec       305.77       261.77       238.33
 2037   Jan       284.07       231.88       227.49
 2037   Feb       268.47       224.41       235.51
 2037   Mar       259.11       245.69       256.90
 2037   Apr       280.22       277.60       280.37
 2037   May       309.55       304.09       289.27
 2037   Jun       313.98       291.68       277.99
 2037   Jul       291.91       266.52       267.75
 2037   Aug       271.25       257.09       265.29
 2037   Sep       267.02       261.70       267.12
 2037   Oct       282.36       271.97       263.04
 2037   Nov       304.15       272.01       248.70
 2037   Dec       305.09       260.86       237.71
 2038   Jan       282.26       230.09       226.74
 2038   Feb       265.54       222.15       234.87
 2038   Mar       255.97       243.68       256.52
 2038   Apr       277.70       276.32       280.19
 2038   May       308.00       303.36       289.05
 2038   Jun       313.03       291.02       277.58
 2038   Jul       290.99       265.62       267.18
 2038   Aug       270.18       256.11       264.77
 2038   Sep       266.11       261.03       266.76
 2038   Oct       281.90       271.72       262.77
 2038   Nov       303.95       271.75       248.32
 2038   Dec       304.40       259.93       237.08
 2039   Jan       280.40       228.26       225.97
 2039   Feb       262.54       219.84       234.21
 2039   Mar       252.77       241.62       256.13
 2039   Apr       275.13       275.00       280.00
 2039   May       306.41       302.61       288.83
 2039   Jun       312.06       290.35       277.15
 2039   Jul       290.05       264.70       266.60
 2039   Aug       269.09       255.10       264.23
 2039   Sep       265.18       260.35       266.40
 2039   Oct       281.44       271.46       262.50
 2039   Nov       303.73       271.49       247.93
 2039   Dec       303.69       258.98       236.44
 2040   Jan       278.50       226.38       225.18
 2040   Feb       259.47       217.47       233.53
 2040   Mar       249.48       239.51       255.73
 2040   Apr       272.48       273.65       279.81
 2040   May       304.77       301.84       288.60
 2040   Jun       311.07       289.66       276.72
 2040   Jul       289.09       263.75       266.01
 2040   Aug       267.97       254.06       263.68
 2040   Sep       264.22       259.65       266.02
 2040   Oct       280.97       271.20       262.23
 2040   Nov       303.51       271.22       247.53
 2040   Dec       302.96       258.01       235.77
 2041   Jan       276.55       224.45       224.37
 2041   Feb       256.32       215.04       232.84
 2041   Mar       246.11       237.35       255.32
 2041   Apr       269.78       272.27       279.61
 2041   May       303.10       301.06       288.37
 2041   Jun       310.05       288.95       276.27
 2041   Jul       288.10       262.78       265.40
 2041   Aug       266.82       253.00       263.11
 2041   Sep       263.25       258.93       265.64
 2041   Oct       280.48       270.94       261.94
 2041   Nov       303.29       270.94       247.12
 2041   Dec       302.21       257.01       235.09
 2042   Jan       274.55       222.47       223.54
 2042   Feb       253.09       212.55       232.13
 2042   Mar       242.66       235.13       254.91
 2042   Apr       267.00       270.86       279.41
 2042   May       301.39       300.25       288.13
 2042   Jun       309.00       288.22       275.81
 2042   Jul       287.09       261.78       264.77
 2042   Aug       265.64       251.91       262.54
 2042   Sep       262.24       258.20       265.25
