*  Baseline Incidence
*                                             ====    ====
   This file contains data for cohorts from:  1890 to 2100
*                                             ====    ====
*  NOTE: The range of years must be entered above.
*
*  FORMAT OF HEADER: consecutive lines: (t1,a8), (t5,i1), (t1,a12), (t1,a3)
BASAL
LAT=1
WH MALE
coh/age 00-04       05-09       10-14       15-19       20-24       25-29       30-34       35-39       40-44       45-49       50-54       55-59       60-64       65-69       70-74       75-79       80-85       85+
2075    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
2080    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
2085    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
2090    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
2095    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
2100    5.00E-01    5.00E-01    5.00E-01    5.60E+00    5.60E+00    2.22E+01    2.22E+01    9.10E+01    9.10E+01    2.02E+02    2.02E+02    2.87E+02    2.87E+02    4.66E+02    4.66E+02    6.38E+02    6.38E+02    7.54E+02
BASAL
LAT=1
NWH MALE
coh/age 00-04       05-09       10-14       15-19       20-24       25-29       30-34       35-39       40-44       45-49       50-54       55-59       60-64       65-69       70-74       75-79       80-85       85+
1890    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00
